{'width': 64, 'lr': 0.005, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.8077403903007507, 'runtime': 108.54244232177734}
{'width': 64, 'lr': 0.005, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.805384635925293, 'runtime': 104.4138388633728}
{'width': 64, 'lr': 0.001, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.6748076677322388, 'runtime': 105.66358804702759}
{'width': 64, 'lr': 0.001, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.6756250262260437, 'runtime': 95.60133576393127}
{'width': 64, 'lr': 0.001, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.668749988079071, 'runtime': 115.30671834945679}
{'width': 64, 'lr': 0.001, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.6715865135192871, 'runtime': 101.25378060340881}
{'width': 128, 'lr': 0.1, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.8972595930099487, 'runtime': 117.70769500732422}
{'width': 128, 'lr': 0.1, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.897740364074707, 'runtime': 101.47233057022095}
{'width': 128, 'lr': 0.1, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.8965384364128113, 'runtime': 121.00343227386475}
{'width': 128, 'lr': 0.1, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.8995192050933838, 'runtime': 122.29828882217407}
{'width': 128, 'lr': 0.01, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.8641346096992493, 'runtime': 101.1024923324585}
{'width': 128, 'lr': 0.01, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.8625961542129517, 'runtime': 116.38776087760925}
{'width': 128, 'lr': 0.01, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.861923098564148, 'runtime': 107.45218300819397}
{'width': 128, 'lr': 0.01, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.8618268966674805, 'runtime': 134.1771581172943}
{'width': 128, 'lr': 0.005, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.8232211470603943, 'runtime': 92.6138026714325}
{'width': 128, 'lr': 0.005, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.8218269348144531, 'runtime': 114.7720947265625}
{'width': 128, 'lr': 0.005, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.8278846144676208, 'runtime': 113.70652556419373}
{'width': 128, 'lr': 0.005, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.8282211422920227, 'runtime': 119.32725644111633}
{'width': 128, 'lr': 0.001, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.6819711327552795, 'runtime': 110.66649127006531}
{'width': 128, 'lr': 0.001, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.682692289352417, 'runtime': 99.64011931419373}
{'width': 128, 'lr': 0.001, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.6805288195610046, 'runtime': 126.79375958442688}
{'width': 128, 'lr': 0.001, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.6830288171768188, 'runtime': 115.45852017402649}
{'width': 256, 'lr': 0.1, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.9059134721755981, 'runtime': 120.60507035255432}
{'width': 256, 'lr': 0.1, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.9089903831481934, 'runtime': 136.26942610740662}
{'width': 256, 'lr': 0.1, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.9112980961799622, 'runtime': 133.45374202728271}
{'width': 256, 'lr': 0.1, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.9085577130317688, 'runtime': 150.4632089138031}
{'width': 256, 'lr': 0.01, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.8727884888648987, 'runtime': 128.35862922668457}
{'width': 256, 'lr': 0.01, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.8751442432403564, 'runtime': 129.6219346523285}
{'width': 256, 'lr': 0.01, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.8737980723381042, 'runtime': 129.07641863822937}
{'width': 256, 'lr': 0.01, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.8742788434028625, 'runtime': 148.37006211280823}
{'width': 256, 'lr': 0.005, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.8343269228935242, 'runtime': 129.06494283676147}
{'width': 256, 'lr': 0.005, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.8357211351394653, 'runtime': 113.45786786079407}
{'width': 256, 'lr': 0.005, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.8387981057167053, 'runtime': 143.5900821685791}
{'width': 256, 'lr': 0.005, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.8391826748847961, 'runtime': 152.39787650108337}
{'width': 256, 'lr': 0.001, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.6910096406936646, 'runtime': 115.20039629936218}
{'width': 256, 'lr': 0.001, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.6884134411811829, 'runtime': 121.35565137863159}
{'width': 256, 'lr': 0.001, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.6896153688430786, 'runtime': 150.80180311203003}
{'width': 256, 'lr': 0.001, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.6901922821998596, 'runtime': 139.75501203536987}
